"Indicator","Market","Destination","Units","2021-03","2021-04","2021-05","2021-06","2021-07","2021-08","2021-09","2021-10","2021-11","2021-12","2022-01","2022-02","2022-03","2022-04","2022-05","2022-06","2022-07","2022-08","2022-09","2022-10","2022-11","2022-12","2023-01","2023-02","2023-03","2023-04","2023-05","2023-06","2023-07","2023-08","2023-09","2023-10","2023-11","2023-12","2024-01","2024-02","2024-03","2024-04","2024-05","2024-06","2024-07","2024-08","2024-09","2024-10","2024-11","2024-12","2025-01","2025-02","2025-03","2025-04","2025-05","2025-06","2025-07","2025-08","2025-09","2025-10","2025-11","2025-12","2026-01","2026-02"
"Visitor arrivals","Air total","Maui Island","persons","170,766","178,579","216,413","261,045","282,736","232,992","172,762","190,210","202,919","235,880","183,436","193,149","240,257","255,433","247,329","287,878","305,862","266,176","219,667","230,512","230,380","261,080","231,644","220,988","279,014","245,080","241,293","278,654","297,082","113,771","93,027","134,493","162,470","197,520","174,471","180,193","212,005","178,645","180,128","216,083","236,245","200,598","165,322","181,487","197,803","229,290","202,416","200,205","235,672","207,590","195,334","226,981","234,805","204,990","184,201","179,459","200,823","243,687","236,180","223,227"
"Visitor arrivals","Air total, domestic","Maui Island","persons","170,665","178,419","216,359","260,986","282,389","230,910","171,308","186,013","190,224","217,038","171,760","180,009","213,996","233,881","233,759","273,715","283,604","245,041","204,270","206,552","198,139","227,983","200,110","193,535","239,301","221,660","223,863","257,015","271,092","102,768","84,005","120,936","136,671","172,516","150,240","155,659","185,675","159,974","169,756","204,117","221,139","186,693","154,627","168,424","174,555","206,624","174,150","177,730","212,292","188,980","183,494","214,865","219,441","189,195","173,717","165,218","172,983","217,745","205,385","199,080"
"Visitor arrivals","Air total, int'l","Maui Island","persons","102","160","54","59","346","2,082","1,453","4,197","12,695","18,842","11,676","13,139","26,260","21,553","13,570","14,162","22,258","21,136","15,396","23,960","32,241","33,097","31,534","27,453","39,713","23,420","17,430","21,639","25,990","11,003","9,022","13,558","25,799","25,004","24,231","24,534","26,330","18,671","10,373","11,966","15,106","13,905","10,695","13,062","23,248","22,666","28,266","22,475","23,380","18,610","11,840","12,116","15,364","15,795","10,485","14,241","27,840","25,942","30,795","24,147"
"Visitor arrivals","US Total","Maui Island","persons","167,753","175,023","212,018","255,516","275,483","224,757","166,489","180,433","183,764","208,172","165,134","173,088","205,103","222,524","219,899","261,835","264,019","225,131","188,755","191,850","185,936","214,172","189,892","182,505","227,275","208,518","210,438","246,098","252,722","93,652","76,769","112,043","128,877","162,625","141,834","147,603","176,153","150,961","159,592","194,878","205,621","170,920","143,043","154,629","163,898","193,910","163,498","166,495","201,520","177,559","171,655","205,168","204,934","172,429","154,447","152,162","166,878","208,227","195,280","188,348"
"Visitor arrivals","Japan","Maui Island","persons","27","31","26","46","96","102","60","61","132","155","138","100","190","358","355","211","369","694","716","638","534","1,105","641","754","835","504","762","1,214","1,129","1,131","973","793","1,128","1,520","1,045","870","1,023","901","1,148","1,153","1,114","1,555","1,007","1,037","1,050","1,518","1,037","1,243","1,108","1,096","1,006","1,256","886","1,994","1,637","1,357","1,002","858","673","1,160"
"Visitor arrivals","Canada","Maui Island","persons","159","258","206","201","911","2,769","2,166","5,204","12,788","18,422","11,460","13,363","25,407","19,735","12,244","7,747","14,528","17,127","12,253","18,939","26,061","29,206","25,444","24,983","30,424","19,648","13,884","15,128","19,025","7,816","5,665","11,206","20,507","21,984","20,822","19,817","24,627","14,921","6,929","6,357","8,434","8,763","7,343","9,003","19,074","20,036","20,995","18,659","19,795","13,200","6,555","4,976","6,818","8,653","6,199","8,700","18,335","21,133","24,387","16,314"
"Visitor arrivals","Europe","Maui Island","persons","168","220","307","310","402","467","276","358","1,324","1,947","1,417","1,436","2,093","3,558","3,898","2,974","6,710","8,728","5,739","4,798","2,366","3,072","2,323","2,696","2,759","3,676","3,887","3,185","6,359","4,107","2,932","2,912","1,881","1,958","1,507","1,580","2,229","3,124","2,571","1,917","4,485","5,277","3,468","3,725","2,244","2,470","2,359","2,670","2,205","3,360","3,735","2,703","5,052","7,600","6,269","4,818","2,282","3,690","2,757","2,927"
"Visitor arrivals","China","Maui Island","persons","37","42","123","103","93","136","63","75","171","474","137","90","199","84","226","289","156","458","208","216","252","576","567","76","745","357","302","525","938","1,000","38","234","232","217","453","858","273","635","517","400","830","438","600","368","364","1,003","1,351","520","606","670","433","407","345","527","497","314","525","660","948","416"
"Expenditure","Air total","Maui Island","$ mil","262.29","289.02","352.96","453.36","494.27","390.74","314.17","345.49","354.52","519.63","419.72","412.12","473.78","505.38","453.12","567.44","607.55","483.97","428.29","435.85","451.19","583.59","653.16","548.92","630.98","566.99","527.63","619.67","622.19","242.29","203.93","332.89","378.22","468.38","505.86","441.69","476.68","396.94","385.14","452.18","508.66","350.08","364.11","392.62","445.26","581.04","534.88","535.06","536.21","442.68","414.12","511.51","510.90","431.20","436.44","437.01","522.65","658.91","664.69","571.51"
"Length of stay","Air total","Maui Island","days","8.90","8.64","8.40","8.60","8.35","8.04","8.12","8.52","8.55","9.27","9.77","8.87","8.28","8.01","7.71","7.95","7.90","7.63","7.69","7.98","8.15","8.57","9.22","8.48","7.92","7.63","7.52","7.80","7.66","7.88","7.62","8.29","8.43","8.82","9.46","8.41","8.08","7.69","7.45","7.77","7.61","7.29","7.48","7.81","7.96","8.46","8.88","8.24","7.78","7.48","7.43","7.63","7.56","7.33","7.17","7.31","8.14","8.29","8.54","7.94"

"Data is updated monthly by the Research & Economic Analysis Division, State of Hawaii Department of Business, Economic Development and Tourism (DBEDT)"
"Source of Data: Hawaii Tourism Authority"
"Seasonally adjusted series are from DBEDT"
"Hotel performance data prior to March 2017 are from Hospitality Advisors, LLC."